price,total_trades,wins,win_rate
0,491146,1539.0,0.3133487801997777
1,7271038,54373.0,0.7478024458131013
2,4266212,79056.0,1.853072468034875
3,4263998,112200.0,2.6313333167604673
4,3692072,122742.0,3.3244747123024685
5,3747247,157833.0,4.211972149153765
6,3546351,177899.0,5.016395726198563
7,3433055,209995.0,6.116855104273016
8,3349402,244896.0,7.311633539360161
9,3234531,267191.0,8.260579354472101
10,3446799,318622.0,9.243997111522894
11,3144345,325570.0,10.354143708785136
12,3171225,357300.0,11.266939431922996
13,3036339,369213.0,12.159808242755503
14,3065578,403446.0,13.160519810619727
15,3243507,466728.0,14.389609764985863
16,3074356,473609.0,15.405145012483915
17,3078409,505310.0,16.414647956135784
18,3076576,515334.0,16.75024442757143
19,3018643,537059.0,17.79140494586475
20,3294994,653375.0,19.82932290620256
21,3098816,659053.0,21.2678971581404
22,3099135,678913.0,21.90653198392455
23,3140460,695776.0,22.155225667577362
24,3107011,726983.0,23.39814696504132
25,3366112,832216.0,24.7233603635292
26,3184419,793200.0,24.90878241839406
27,3299552,843484.0,25.563591663353087
28,3308445,929205.0,28.08585302158567
29,3259021,927672.0,28.46474447387728
30,3618384,1092386.0,30.189885871704053
31,3503272,1122785.0,32.049609622090436
32,3482299,1195729.0,34.33734438082428
33,3455670,1191439.0,34.47780025291767
34,3513994,1217754.0,34.65441318340327
35,3780388,1308270.0,34.606765231505335
36,3696597,1304642.0,35.293054666224094
37,3731797,1380757.0,36.99978857370859
38,3821710,1443791.0,37.77866452451913
39,3814425,1461807.0,38.323128649796494
40,4123048,1628033.0,39.486151992409496
41,3837370,1559449.0,40.638484170147784
42,3971382,1600540.0,40.30183951077988
43,4034476,1680918.0,41.66384928302957
44,4252643,1838602.0,43.23433685827849
45,4559409,2043640.0,44.82247589545049
46,4593405,2136855.0,46.52006518040539
47,4694271,2219899.0,47.289536543586856
48,4923366,2349207.0,47.71546539501634
49,4751665,2297557.0,48.35267216859774
50,5123161,2562286.0,50.013770795022836
51,4750583,2453984.0,51.65648089929173
52,4928575,2576857.0,52.28401718549479
53,4695235,2476141.0,52.73731772744069
54,4589168,2454399.0,53.48243951844866
55,4558058,2515624.0,55.19069744176138
56,4253082,2414312.0,56.76617568154106
57,4032953,2353127.0,58.34749375953551
58,3971313,2371382.0,59.71279523925714
59,3839618,2277506.0,59.31595278488641
60,4123055,2497154.0,60.56562427617386
61,3814823,2353026.0,61.68113173271735
62,3825808,2379417.0,62.19384245105871
63,3729024,2351373.0,63.05598998558336
64,3698714,2394042.0,64.72633461251668
65,3780402,2472909.0,65.41391629779055
66,3513131,2296470.0,65.36818581487567
67,3458895,2266666.0,65.53150644931401
68,3486301,2290159.0,65.69022582961138
69,3505370,2382090.0,67.95545120771844
70,3619628,2528627.0,69.85875344096134
71,3263511,2334954.0,71.54729982524955
72,3310669,2381829.0,71.94403910508721
73,3302510,2458659.0,74.44819243545061
74,3185443,2392065.0,75.09363689759948
75,3364715,2533596.0,75.29897777374904
76,3108646,2381761.0,76.61731184573605
77,3141908,2446053.0,77.85247053701127
78,3096347,2418505.0,78.10833217336429
79,3098468,2440253.0,78.75675979225862
80,3294951,2642564.0,80.20040358718536
81,3031083,2492847.0,82.24278253020455
82,3076986,2562857.0,83.29114919599894
83,3077954,2572985.0,83.59400432884962
84,3080859,2605229.0,84.56177319377485
85,3244280,2779190.0,85.66430764299012
86,3073809,2671305.0,86.90536724955909
87,3036575,2667682.0,87.8516749956777
88,3174603,2817521.0,88.7519163813554
89,3147634,2822663.0,89.67570562524105
90,3474303,3153754.0,90.773717778789
91,3259626,2992492.0,91.80476533197367
92,3364928,3120485.0,92.73556521863172
93,3437236,3228346.0,93.92273326591483
94,3551198,3373981.0,95.00965589640454
95,3785564,3628267.0,95.84481995285246
96,3727556,3605771.0,96.73284586468989
97,4310439,4199133.0,97.41775721684033
98,4340292,4263307.0,98.22627141215384
99,7392163,7340302.0,99.29843267795907
